metric,method,mean,std,median,wilcoxon_p_vs_STATIC,A12_vs_STATIC
heldout_uniform_mean,most_played_baseline,0.4957890488241229,5.745950043620392e-17,0.49578904882412295,0.00030517578125,0.0
heldout_uniform_mean,RANDOM_SEARCH,0.5322091838748553,0.0016752423519223053,0.5324896272711285,0.00128173828125,0.8666666666666667
heldout_uniform_mean,GREEDY_HILLCLIMB,0.5372959612271465,0.011172750442587564,0.5429898736912886,0.000244140625,0.9288888888888889
heldout_uniform_mean,STATIC,0.5209213143054073,0.009043260240606227,0.5186683798367991,,
heldout_uniform_mean,COEVOLVE_FROZEN,0.5295512472658611,0.013328275130746949,0.520614724757657,0.0946044921875,0.64
heldout_uniform_mean,COEVOLVE,0.5323986955311824,0.01232318731191601,0.5413610542483552,0.0067138671875,0.8133333333333334
heldout_worst_band,most_played_baseline,0.49212096107192677,5.745950043620392e-17,0.4921209610719267,0.00030517578125,0.0
heldout_worst_band,RANDOM_SEARCH,0.5216199207503708,0.00133423462591939,0.5216060098185039,0.060302734375,0.8666666666666667
heldout_worst_band,GREEDY_HILLCLIMB,0.5275927820926866,0.008327624630510535,0.5323415793088107,0.000732421875,0.9155555555555556
heldout_worst_band,STATIC,0.5154650231293938,0.006442165717641771,0.5137433033851047,,
heldout_worst_band,COEVOLVE_FROZEN,0.5219599510455633,0.009812482592315855,0.516018367529855,0.05535888671875,0.68
heldout_worst_band,COEVOLVE,0.5238530863883711,0.009148313767853985,0.5295862182500504,0.00787353515625,0.8311111111111111
